"page","date","transaction","pounds ","shillings","pence","contemp notes","comments"
,,"By 6 cords wood @ 5/",1,10,,,
,,"due L",,14,9,,
,,"To 1 Gal Molasses",,12,6,,
,,"2 qts Whisky",,7,,,
,1812,"To his shop accot",,8,,,
,"March","1 u Sugar 2/- 1 Thimble 1/6",,3,6,,
,"Apl 2","3 qts Whisky",,10,6,,
,"Decemr","1/2 Bushel Salt",,10,,,
"page 20",,,,,,,
,1810,"Negro George Dr Miller",,,,,
,"July 27","1 pr Shoes 15/ 1 Handkf 3/",,18,,,
,,"2 qts Whisky",,7,,,
,,"2 qts Molasses",,7,,,
,,,1,12,,,
,,"By cash",,10,,,
,,,1,2,,,
,"April","1 u Sugar",,2,,,
,"July","5 yds Calico @ 5/",1,5,,,
,,"2 skeins Thread",,1,,,
,,"Donom [?] House Dr.",,,,,
,1810,"To amount brought forward",1,2,9,,
,"Sept 18","1 u Sugar 2/",,2,,,
,1811,,,,,,
,"Jany 4","2 Tin cups 2/6 1 Handkf 4/",,6,6,,
,,"1 shawl 5/ 2 u Sugar 4/",,9,,,
,"Apl 18","1 quart whisky",,3,6,,
,"July 25","1 case Knives & forks",,15,,,
,,"By Demse Faborn Cr",,,,,
"page 21",,,,,,,
,1799,,,,,,
,"June 2","Vaughan John Son of Mary D Self",,2,,"paid",
,"Augt [4?]","Vaughan James Dr. PP Self",,,,"paid","amount obscured"
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,,"Old Carolina Dr.",,,,,
,1810,"To amot brot forward",2,16,6,,
,"Augt","1 u Sugar 2/",,2,,,
,"Sept","1 u Sugar 2/",,2,,,
,,"1 1/2 u Sugar",,3,,,
,"Novr","2 u Sugar 4/",,4,,,
,"Decr","2 u Sugar 4/ 2 doz Needles 2/",,6,,,
,,"1 u Sugar 2/",,2,,,
,,,3,15,6,,
,,"By cutting 6 cord of wood at 5/",1,10,,,
,,,2,5,6,,
,,"To 2 qts Whisky 7/",,7,,,
,,"2 qts Ditto 7/",,7,,,
,,"1 Shawl 5/ 1 qt Molasses 3/6",,8,6,,
,,"1 Shawl",,5,,,
,,"2 u Sugar 4/ pd Charles 5/",,9,,,
,,,4,9,,,
,,"By 13 cords wood @ 5/",3,5,,,
,,"still due",1,4,,,
,,"By cains Abraham",,5,,,"credit from another person"
,,"still due",,19,,,
"page 22",,,,,,,
,1792,,,,,,
,"August","Williams George Dr. PP Self",,4,,,
,"Jany 11","Watson John Dr PP Self",,2,6,"paid",
,1798,,,,,,
,"April 9","Wood John Dr. PP Self",,1,6,,
,"August 27","Wood Mary Dr. PP SElf",,1,,,
,""" ""","Wheeler Mrs. John Wheeler's wife",,1,,,"ladies be shoppin' together"
,"Decr.3","Wells George PP Wife Dr. ",1,8,6,"paid",
,1799,,,,,,
,"June 24","Wilson Stephen Dr. PP Son",1,2,6,"paid",
,"Augt 4","Wood Alexander Dr. PP Self",0,,"[obscured]","paid",
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,1810,"Wilbourns Dick Dr",,,,,
,"Sept 16","1 u Sugar",,2,,,
,"Decr.3","4 u Sugar 8/ PP wife",,8,,,"""wife"""
,"May","2 quarts Molasses",,6,3,,
,,,,16,3,,
,,"By cash",,5,,,
,,,,11,3,,
,,"1 quart Whisky",,3,6,,
,,"Matthew Dr.",,,,,
,1810,"amount brot. forwd.",,5,3,,
,"Novr 21","1 Poket Knife",,4,,,
,"Febry","2 quarts Whisky",,7,,,
,"[Apr 9?]","2 quart Ditto",,7,,,
,"June","1 Handkf",,7,6,,
,,"Merchdse paid Bob",,5,,,
,,,1,15,9,,
,,"By 7 cords wood",1,15,,,
,,"still due",,,9,,
"page 23",,,,,,,
,1810,"Daniel (Eno) Dr.",,,,,
,"May","1 Handkf 6/ Paid Phill 1/6",,7,6,,
,"--","6 qts Whisky at Sundry times",1,1,,,
,"June","3 1/2 yards Twild nankeen 8",1,8,,,"""nankeen twill"" British usage 2 up 1 down twill, British cotton fabric made with the 2 up 1 down twill and dyed a brownish yellow color in imitation of nankeen. Uses: pocketing, carpets. The Fairchild Books Dictionary of Textiles 2013 Phyllis G Tortora and Ingrid Johnson (Bloomsbury)"
,,"Paid Walkers Davie 5/",,5,,,
,,""" Anderson Eno",,5,,,
,,""" Shadrach Roberts",,5,,,
,,"2 quarts whisky",,7,,,
,,"1 ditto ditto",,4,,,
,"Apl","1 ditto ditto PP Tom",,3,6,,
,"June 29","2 qts Whisky 7/ 1 Hkf 7/6",,14,6,,
,,"1 fine Hat $5",2,10,,,
,,"[Mchse?] pd Webbs Moses",1,5,,,
,,,8,15,6,,
,,"Cr",,,,,
,,"By Cutting 20 cords of coal wood 5/ }",9,,,,
,,"By 16 cords wood @ 5/ }",,,,,
,,"Cr",,,,,
,,"By balance due Danl",,4,6,,
,,"7 cords wood",1,15,,,
,,"To Merchdse Aggy",1,,,,
,,,,19,6,,
,1811,"By Bal. due Daniel",,,,,
,"Dec 13","To 2 1/4 u Sugar",,4,6,,
,1812,,,,,,
,"March","2 qts Whisky 7",,,,,
,,"to Sillers accot L2",2,11,6,,
,,,1,12,,,
,,"By 20 cords wood L5",,,,,
,,"By Balance due Daniel ",3,8,,,
"page  24",,,,,,,
,,"Solomon of Goodlow Dr",,,,,"whole page is marked ""settled in full work done"""
,,"amount brogt forwd",2,2,,,
,,"1 quart Brandy",,4,,,
,,"Merchandise pd [Currell?]",,10,,,
,,"ditto paid [Brittain?]",,10,,,
,,"paid [Amous?]",,1,3,,
,,"2 u Sugar 4/",,4,,,
,,,3,11,3,,
,,"Cr",,,,,
,,"By his part of a canoe L3",,,,,
,,""" 1 Water Stand 17.6",,,,,
,,""" 1 Small ditto",,,,,
,,"1 Top for [pale?] 0.1.6",,,,,
,,"2 seats 0.2.0",,,,,
,,"4.4.0",4,4,,,
,,"Bal due Solomon",,12,9,,
,,"To paid him 0.2.0",,,,,
,,"paid Jim 0.8.6",,,,,
,,"1 qt Brandy 0.3.6",,,,,
,,"0.14.0",,14,,,
,,"Solomon due",,1,3,,
,,"2 Handkfs 4/ 6/",,10,,,
,,"By [Britden?] 17/5",,,,,
,"Nov","To 1 Pr Suspenders 5/",,5,,,
,,"1 Pocket Knife",,5,,,
,"Decemr","1 quart Brandy",,3,6,,
,,"To bal of Hat for Britain",,7,6,,
,,"card forward",1,19,3,,
"page 25",,,,,,,
,,"Jim Amey Dr.",,,,,"check Amey"
,,"To amount brought forwd",5,15,9,,"whole page marked Settled in full 1812"
,,"By Henry Avery",,4,,,"check Avery"
,,"due",5,11,9,,
,1810,,,,,,
,"Sept 10","To 1 u Sugar 2/",,2,,,
,,"1 pr Shoes for Esther",,17,6,,
,,"pd Wicks 1 qt Brandy",,3,6,,
,"Octobr ","1 u Sugar 2/",,2,,,
,,,6,16,9,,
,,"Cr",,,,,
,,"By Solomon 8/6 }",,,,,
,,"By Charles 10/ }",,18,6,,
,,,5,18,3,,
,,"By 4 day work dressing stoves $2",,,,,
,,""" 1 water Keg 0.75",,,,,
,,""" 1 days work coopering flour Barrels .50",,,,,
,,"$3.25",1,12,6,,
,,,4,5,9,,
,,"By Cash",,3,9,,
,,,4,2,0,,
,,"To Merchdse pd Peter",,2,6,,
,"Decr","1 1/2 yds red flannel at 8/",,12,,,
,,"2 shawls 10/",,10,,,
,,"Mdse pd [Jo? Ferguson]",2,10,,,
,,,7,16,6,,
,,"By Phillip assumed",1,10,,,
,,,6,6,6,,
,,"By corn & Timber $5.25",2,12,6,,
"page 26",,,,,,,
,1792,,,,,,"NOTE: late 18th AA account holders"
,"Jany","Dr. Negroe Peter, Slave to Alter Alvis",,24,6,,
,1798,,,,,,
,"Decr 3","Negroe Isaac Slave to J Alston",,7,6,"paid",
,1799,,,,,,
,"June 2","Negroe Sam slave to Jno Goodloe",4,15,6,"pd",
,""" 24","Negroe Harry Slave to M Holloway",,4,6,"pd",
,"Augt 4th","Negroe Simon Slave to J Alston",,1,3,"pd",
,"Octr 24","Negroe Lewis Slave to J Goodloe",,3,6,"pd",
,"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------",
,,"Davie Dr. Handkf 5/",,5,,,
,1810,"Lewis Wms Dr",,,,,
,"July 18","1/2 doz Earthen plates",,6,,,
,"Sept","1/2 Gallon Brandy",,6,3,,
,"Novemr","1/2 yds Kersey",,11,3,,"Kersey is both a fabric and weave and in the case of Virginia cloth indicates a twill weave. Virginia cloth of kersey weave was used to make durable cheep men's outer garments like breeches, jackets, coats, and waistcoats. Not all Virginia cloth had a kersey weave to it"
,"Decr","5 u Sugar 10/ 2 pc [Bridge?]",,14,,,"might also be 2 pt Brdy [brandy]"
,,,1,17,6,,
,,"By 7 cord wood",1,15,,,
,,"carrd forwd due (BC?)",,2,6,,
,,"Big Jim Dr",,,,,
,,"1 qt Rum",,5,,,
,"Nov 30","1 1/2 yds bath coating 25/",1,17,6,,"Lightweight wide fabric with long nap that is bleached or coloured; preferred as a fabric for a coat over superfine by Beau Brummel according to the tailor Schweitzer. http://sarahs-history-place.blogspot.com/2011/09/regency-and-georgian-fabric-glossary.html "
,"""""","3 yds Riband 3/ Silk 2/6",,5,6,,"yes, riband is another word for ribbon, especially fancy award-type ribbons"
,,,2,8,,,
,,"Cr By [Ink? carted?] L 1",,,,,
,,"By 53 @ Cotton L1",,,,,
,,"By [TDB?] 10",2,10,,,
,,"paid",,2,,,
,,"To Blue Coating",,15,,,
,,"1 yd Coating",1,5,,,
,,"By John [carted?] L1",2,,,,
,,"By Cash",1,5,,,
,,"For the Blue Coating",,15,,,
"page 27",,,,,,,
,,"Old Frank Dr.",,,,,
,,"1 Dutch Oven",,,,,
,,"1 1/2 o Sugar",,3,,,
,,,1,3,,,
,,"By Paymore",,5,,,
,,,,18,,,
,1804,,,,,,
,"Sepr 28","1 o Sugar ",,2,,,
,"Dec 8","1 peck Salt",,"illegible","illegible",,"this is crossed out separately from the rest of the page"
,""" 21","2 Quarts Brandy",,8,,,
,1806,,,,,,
,"Apl 21","1 o Sugar",,2,,,
,,,1,10,,,
,,"By 3 1/2 Cord wood 5/",,15,6,,
,,,,12,6,,
,"July","1 o Iron work'd at the Shop",,1,,,
,"Novr 2","1 o Sugar",,2,,,
,"December","3 o Sugar 6/ Whiskey 2/",,8,,,
,,"To his Shop accot",,4,,,
,,"2 barrels corn a 20/",2,,,,
,,,3,7,6,,
,,"To his [asst] in fav of Patty Baxter",1,10,,,
,,,4,17,6,,
,,"Whisky",,8,,,
,,"Carried Forward ",5,5,6,,
"page 28",,,,,,,
,,"Old Frank Dr",,,,,
,1806,"amt brot forward",5,5,6,,
,"Dec","By 250 u Tobacco 35",4,7,6,,
,,,,18,,,
,1807,"By Wm Chaves",,15,,,"who is William Chaves?"
,,,,3,,,
,"Apl 13","1 1/2 Gallons Molasses a 10/",,15,,,
,"""""","1/2 """" a 10/",,5,,,"why record this 1/2 separately?"
,""" 21","1 Quart Whisky",,3,6,,
,"May","1/2 o Iron",,,6,,
,"June 5","1 pr Spectacles",,6,,,
,"July","2 1/2 o Iron work'd at Shop",,2,6,,
,,"To his Shop accot",,4,6,,
,,,2,,,,
,,"1 Peck Salt",,5,,,
,,,2,5,,,
,,"Cr",,,,,
,,"By 250 u Tobacco 30/",3,15,,,
,,,1,10,,,
,,"To 1 Bbl Corn",1,0,0,,
,,,,10,,,
,"Dec 26","To 1 Hat",,7,6,,
,,"due B [?] C",,17,6,,
,,,1,5,,,
"page 29",,,,,,,
,1809,"Amount Brought ford",1,5,,,
,"June","1 Pocket Knife 3/ 3o Sugar 6/",,9,,,
,,"1 o Sugar 2/ 1 Hank Silk 1/3",,3,3,,
,,"2 checkd Handkfs",,12,,,
,,"Old Frank",,,,,
,,"Balance due B [illegible] Cameron",,4,9,,
,1810,,,,,,
,"Febry 23","3 1/2 u Steel at 4/6",,15,9,,
,"March","2 quarts Whisky",,6,,,
,"April","2 u Sugar 4/",,4,,,
,22,"5 yds calico at 7/6",1,17,6,,
,,"Whiskey",,3,,,
,,"2 u Sugar",,4,,,
,,,3,15,,,
,,"Cr",,,,,
,,"By Cutting 15 cords of wood at 5/",3,15,,,
,1810,"Old Frank Eno Dr",,,,,
,"May","2 quarts whiskey 3/6",,7,,,
"page 30",,,,,,,
,1810,"Jim Ray PP Self Dr",,,,,"who is Jim Ray.  There is a James Ray (Anderson:164) who sold 5 people to Thomas D. Bennehan 1825-1826"
,"July 20th","1/2 doz Earthen plates",,6,,,
,,"1 pint whisky",,1,9,,
,"Sept","[1?] Chest Lock",,4,6,,
,,"1/2 doz plates",,6,3,,
,,"4 1/2 u Sugar 2/",,9,,,
,,,1,7,6,,
,,"Cr",,,,,
,,"By 5 1/2 cord wood att 5/",1,7,6,,
,1810,"Frank Kennon Dr.",,,,,"both debtors on this page have surnames, even tho' it's 1810 and contemp w/ the other enslaved purchasers..."
,"Sept 7","2 yds red ribbon",,2,,,
,14,"Bal of Brandy",,1,6,,
,"Octobr","1 quart Brandy",,3,6,,
,"""""","1 Jug 2 qts",,5,,,
,,"1 u Sugar 2/",,2,,,
,"Decemr","1 pint Brandy",,1,9,,
,,"1 ditto ditto",,1,0,,
,,"1 u Sugar 2/",,2,,,
,,,,19,6,,
,,"cr",,,,,
,,"By 13 3/4 Gallons Grapes at 9/ } 27/6",,,,,
,,"To 1 1/2 u Sugar 2/",,3,,,
,,"1 qt Molasses",,3,6,,
,,"2 u Sugar 4/ 1 shawl 7/6",,11,6,,
,,"1 qt whisky",,3,6,,
,,"Balance carrd forward 13/6",2,1,0,,
"page 31",,,,,,,
,1808,"Phill Dr",,,,,
,"June","2 u Sugar 2/6",,5,,,
,,"By 2 stick blacking sold",,2,6,,
,,,,2,6,,
,"July 21","1 Fan 5/ 2 1/2 yds Ribbon 2/6",,7,6,,
,""" 26","1 [Booth? Bree/Bra?]: for Mother",,2,,,
,"Augt 23","[3/4?] u Sugar 1/3",,,,,"this is page starts w/ sugar at 6 pence more than other pages.  If this entry were at the same price it would be 1 u of Sugar, if it were the usual price it would be 3/4 u.  The number looks like a fraction.  I don't know"
,"Octo 3d","By 1 Stick Blacking sold",,2,6,,
,,,,10,9,,
,""" 4","1 fine comb 4/",,4,,,
,"Nov. 9","1 qt Brandy 4/",,4,,,
,1809,,,,,,
,"Jany","Mercs pd Clarisy 1/6",,1,6,,
,"""","1 qt Brandy 4/",,4,,,
,,"By TDB L0.10.0",,,,,
,,"By 1 Stick Blackg 2.6",,12,6,,
,,,,11,9,,
,"Feby","By 1 Stick blacking",,2,6,,
,,,,9,3,,
,""" 15","1 pt Brandy 2/ Chocolate 2/6",,4,6,,
,,,,13,9,,
,"June 27","By Barter Labor 6/6}",,,,,
,,"By Cash in full 7/3",,13,9,,
"page 32",,,,,,,
,1810,"Jerry Dr",,,,,
,,"To balance due",1,0,3,,
,"October","1 u Bees Wax",,2,6,,
,"Decemr","1 quart Brandy",,3,6,,
,"Feby","1 u Sugar",,2,,,
,,"1/2 Gallon Molasses",,0,0,,"this looks like an error, only item crossed out, price is obliterated by zeros"
,,"pd for 2 shad",,2,6,,
,,,1,10,9,,
,,"cr",,,,,
,,"By 5 cord wood",1,5,0,,
,,"PP Settlement",,5,9,,
,,"1 quart Whisky",,3,6,,
,,,,9,3,,
,,"By 1 1/2 cord wood @ 5/",,7,6,,
,,,,1,9,,
,,"1 fine comb 2/6 1 qt Whisky 3/6",,6,,,
,,"By 2 cords wood",,7,9,,
,,,,10,,,
,,"due Jerry",,2,3,,
"page 33",,,,,,,
,,"Amous Dr",,,,,
,,"1 Pint Brandy",,2,,,
,,"4 pipes",,1,,,
,,"1 Pint Brandy",,2,,,
,,"By his days work on [Road?]",,,,"[pd?]",
,,,,,,,
,1810,"Squire Dr",,,,,
,"December","1 Pocket Knife",,4,,,"maybe 4 shillings, overwritten with a zero"
"page 34",,,,,,,
,,"Webb's Moses Dr",,,,,
,,"3 yds Corduroy at 15/",2,5,,,
,,"1/2 u Copperas",,,9,,
,,"1 quart Brandy 3/",,3,,,
,1810,,,,,,
,"Decr 27",,2,8,9,,
,,"By cash in pt 10/",,,,,
,,""" cash 20/",1,10,,,
,,,,18,9,,
,,"1 qt Whisky 3/6",,3,6,,
,,"3/4 yd Dimity",,5,3,,"Originally dimity was made of silk or wool, but since the 18th century it has been woven almost exclusively of cotton. The name was applied to two types of corded cottons: a heavy material used for bedcovers, drapery, and the like, and a lightweight, almost sheer fabric either corded or made in check effects. Dimity now refers primarily to the latter. (Encyclopedia Britannica)"
,,,1,7,6,,"The name was applied to two types of corded cottons: a heavy material used for bedcovers, drapery, and the like, and a lightweight, almost sheer fabric either corded or made in check effects. Dimity now refers primarily to the latter."
,,"By bringing Jude down",,5,,,
,,"due",1,2,6,"Transfered",
,,"[Cains?] Abraham Dr",,,,,
,,"Merchdize pd him",,4,,,
,,""" pd Old Carolina",,5,,,
,,"1 1/2 u Sugar",,3,,,
,,,,12,,,
,,"By 3 Mats",,12,,,
"page 35",,,,,,,
,1810,"Charles of D Goodlow Dr",,,,"whole page: Settled in full 1812",
,,"To balance brot forward",1,18,3,,
,"Novr 29","2 u Sugar 4/ 2 qts Brandy 7/",,11,,,
,"Decemr","1 pint Brandy ",,1,9,,
,,"2 qts Brandy 7/ 1 pt do. 1/9",,8,9,,
,,,2,19,9,,
,,"By Work PP Bill",1,15,6,,
,,,1,4,3,,
,"Decem 22","1 qt Brandy 3/6 1 u Sugar 2/",,5,6,,
,,"Bal of Sugar",,1,,,
,,"1 1/2 qts Whisky",,5,3,,
,,"By cash in full",1,16,,,
,"May 20","1 quart Whiskey",,3,6,,
,,"Bal of [pins?]",,1,,,
,,"[Ticker?] [of?] [full?]",,4,0,,
,,"1 pint Whisky",,1,6,,
,,"By cash in full",,10,,,
,1811,,,,,,
,"June 20","1 pr Shoes",,13,6,,
,,"1 quart Whisky",,3,6,,
,,"1 Decanter [full?]",,12,,,
,,,1,9,0,,
,,"By Old Carolina",,5,,,
,,,1,4,,,
,,"By Dunse Taborn 7/",,,,,
,,"By Sam 10/",,,,,
,,"By Jim Aimy 10/",1,7,,,
,,"du Charley",,3,,,
,,"Merchdise paid infull",,,,,
"page 36",,,,,,,
,,"Solomon of D. Goodlow",,,,"whole page marked ""Settled in full by work done for [RB & Son?]",
,,"To amot brot forward",1,12,3,,
,,"By Britains pt canoe",,17,6,,
,,"bal due L",,14,9,,
,1810,,,,,,
,"Decemr 23","To 1 fine Hat $5",2,10,,,
,,"1 quart Brandy",,3,6,,
,1811,"2 u Sugar 4/ 1 Handkf 6/",,10,,,
,"Jany 13","7 u Sugar",,14,,,
,26,"1 Shawl",,7,6,,
,"March 21","1 pr scissors 4/ 1 [?] Copperas 1/3",,5,3,,
,"Apl 15","2 oz pins for negro [man?]",,2,6,,
,,,5,7,6,,
,,"By Mark 7/6 }",,,,,
,,""" Sam 5/ }",,,,,
,,""" his days work 5/ }",,,,,
,,""" Ben 7/6 }",1,5,,,
,,,4,2,6,,
,,"1 qt Whisky 3/6 2 u Sugar 4/",,7,6,,
,,"1 1/3 doz buttons 6/[?] 1 pt Whisky 1/9",,8,6,,
,,"2 u Sugar 4/",,4,,,
,,"1 quart Whisky",,3,6,,
,,"paid charity",,4,9,,
,,"1 pr Shoes",,15,,,
,"May 20","1 qt Whisky PP Charles",,3,6,,
,,"part of Whisky",,4,3,,
,,"1 pint Do P Jim C.",,1,9,,
,,,6,14,9,,
,,"By making of pr [steps?] @ 15/",1,10,,,
,,"carried forward",5,4,9,,
"page 37",,,,,,,
,,"Horton's Jack Dr",,,,,
,,"Balance amt forward",,4,,,
,,"1 doz buttons",,3,6,,
,,"1 pr Shoes",,15,,,
,,"1 hair comb",,2,6,,
,,"Bal of Whisky",,1,9,,
,,"cr L",1,6,9,,
,,"Bob (of [Wm?] Fort) Dr",,,,,
,1811,"1 quart Whisky",,"[3?]","[6?]",,
,"April","1 u Sugar",,2,,,"in this person's handwriting ""u"" looks more and more like lb..."
,,"Old Will or Cooley Dr.",,,,,
,,"1 u Sugar 2/ 2 Chest Locks 7/",,9,,,
,,"1/2 u Sugar",,1,,,
,,"due",,10,,,
,,"By Currel",,"[5?]",,,"heavily overwritten--this is an erasure, not a cancellation, see totals"
,,"due L",,5,,,"scratched out"
,,"1 small Lock",,3,,,
,,,,13,,,
"page 38",,,,,,,
,,"Humphry Little River Dr",,,,,
,1811,"By bal brot forward",2,7,6,,
,"April","2 quarts Whisky",,7,,,
,"May 10","1 qt Ditto",,3,6,,
,,"1 u Sugar",,2,,,
,20,"Bal of 1 p Shoes",,10,,,
,"July","1 yd Ribbon",,3,6,,
,,"2 1/2 u Sugar 5/ Whisky 3/",,8,,,
,,,1,14,,,
,,"By 11 cords wood 55/",,,,,
,,"By Balance due Humphrey",3,8,6,,
"page 39",,,,,,,
,,"Lattas Demse Dr",,,,,
,1811,"To amount brought forwd",1,5,,,
,,"1 stock Lock",,6,,,
,"July 29","1 pr Stockings 15/ 1 u Sugar 2/",,17,,,
,,"Currel Dr",,,,,
,,"[Sugar?] pd Old [Lewis?]",,10,,,"heavily scratched out"
,,"[illegible]",,"[?]","[?]",,"heavily scratched out"
,,"Merchdse pd Old Will",,5,,,
,,"4 u Sugar 8/ 1 Hkf 4/",,12,,,
,,"1 Knife 2/ 1 Pocktbook 5/",,7,,,
,,"2 quart Whisky",,7,,,
,,"1 Do Molasses",,3,6,,
,,"balance of Whisky",,"[?]","[?}",,"double crossed out"
,,"[?] u Sugar",,"[?]",,,"double crossed out"
,"for W. Fort","1 bowl",,3,,,"according to Miller 1990, this is a reasonable price for a cc bowl"
,,"1 u Sugar 2/ 1 1/2 u Sugar 3/",,5,,,
,,"carrd forward",2,2,6,,
"page 40",,,,,,,
,,"Davie Eno Dr",,,,,
,1811,"amot brot forward",4,7,9,,
,"Febry","3/4 u Coffee 3/6 1 pt Whisky 1/9",,5,3,,
,,"3 qts Whisky",,10,6,,
,"""","1 doz Needles 1/ 2 u Sugar 4/",,5,,,
,,"1 skein Silk",,1,3,,
,,"paid Alves's Bob",,15,,,
,,"1 Knife",,2,,,
,,"1 pr Knitting Pins",,1,,,
,,"1 skein Silk",,1,3,,
,,"1 chest Lock",,3,,,
,,"1 red Hkf",,7,6,,
,,,6,19,6,,
,,"By 16 cords wood",4,,,,
,,,2,19,6,,
,,"By an old Bal",,14,9,,
,,"due PP Settlement ",2,4,9,,
,,"2 u Sugar 4/",,,,,
"page 41",,,,,,,
,,"Grandsir Nead Dr.",,,,,
,,"To amot brot forward",,9,,,
,,"1 pt Whisky 1/9 1 u Sugar 2/",,3,9,,
,"Apl 13","1 qt Whisky 3/6 1 u Sugar 2/",,5,6,,
,27,"1 quart Whisky",,3,6,,
,"May","1 quart Whisky",,3,6,,
,,"1/2 doz fish Hooks",,,9,,
,,"1 pr womens Shoes",,13,6,,
,,"1 quart Whisky",,3,6,,
,,"1 quart Whisky",,3,6,,
,,,,,,,
,,"Joe the waggoner Dr",,,,,
,"March 16","1 quart whisky",,3,6,,
,,"1 Do Do",,3,6,,
,,"1 u Sugar",,2,,,
,,"1 pair Shoes",,15,,,
,,,,,,,
,1811,"Ben Parkerson Dr.",,,,,"note surname"
,"March","1 quart Whisky",,3,6,,
,,"1 pr Suspenders",,7,6,,
,,"1 quart Whisky",,3,6,,
,,"1 chest lock 3/1 1 pr Hinges 2/6",,5,6,,
,,"1 qt Whisky",,3,6,,
,,"2 Thimbles",,2,6,,
,,"Bal pd Solomon",,2,6,,
,,"1 u Sugar 2/ 2 qts Whisky 7/",,9,,,
,"May","1 pr Shoes 15/ 1 Hkf 4/ 2 u Sugar 4/",1,3,,,
,,"1 u Sugar 2/ pd Donom",,2,,,
,,"carried forward",3,2,6,,
"page 42",,,,,,,
,,"Frank Kennon",,,,,"note surname, tho he also appears as Kennon Frank.  I think he's owned by Kennon"
,1811,"To bal brot forward",,13,6,,
,"May 15","1 quart Whisky",,3,6,,
,,"part of Whisky",,4,3,,
,,,1,1,3,,
,,"By 1 1/2 cord wood @ 5/",,7,6,,
,,,,13,9,,
,,"part of 2 qts whisky",,2,3,,
,,"To 6 yds callico @ 5/",1,10,,,
,,,2,6,0,,
,,"By 4 cords wood @ 5/ cr",1,,,,
,,,1,6,0,,
,,"1 pint Whisky",,1,9,,
,,"Merchdse pd Amous",,7,6,,
,,,1,15,3,,
,,"By 7 cords wood",1,15,,,
,,"To [Balance? Baldur?] PP settlement",,,3,,
"page 43",,,,,,,
,,"Nead The Smith",,,,,"this Nead looks more like Nedd"
,1810,"1 pr Shoes",,15,,,
,"March","1 paper pins 4/ 1 u Sugar 2/",,6,,,
,,"Necklace",,10,,,
,"Novemr","1 pr wool cards 10/",,10,,,
,,"1 pr Suspenders",,7,6,,
,1811,"1 u Sugar 2/ 1 qt Molasses 3/6",,5,6,,
,"April 1","1 pr Shoes",,17,6,,
,"May ","1 u Sugar",,2,,,
,,"pd short Vaughan",,2,,,"white Vaughns in the neighborhood"
,,"1 pr Shoes 15/ 1 qt Whisky 3/6",,18,6,,
,"Jun","2 u Sugar",,4,,,
,"July","2 Handkfs",,8,,,
,,"1 pr Leather Shoes",,13,6,,"why ""leather"""
,"Augt","7 yds Calico @ 5/",1,15,,,
,,"1 u Sugar",,2,,,
,,,7,16,6,,
,,"By 2 1/2 cords wood L 0 "" 12-6",,12,6,,
,,,7,4,0,,
,,"1 Pitcher 5/ 1 bowl 2/6",,7,6,,
"page 44",,,,,,,
,,"Jim the Stiller Dr",,,,,
,,"amount brot forwd",1,11,6,,
,,"pt of a Gal of Whisky",,4,3,,
,,"part of 2 qts Do",,2,3,,
,,"1 yd ribbon 3/ 1 Hkf 7/6",,10,6,,
,,"1 quart Whisky",,3,6,,
,,,2,12,,,
,,"By 4 cords wood @ 5/",1,,,,"interesting that someone with craft skills is doing unspecialized work for credit"
,,,1,12,,,
"page 45",,,,,,,
,,"Tom Eno Cr",,,,,
,,"By 14 Cords wood 5/",3,10,,,"note he set up credits first"
,,"To 5 yds callico @ 5/",1,5,,,
,,"1 qt Whisky 3/6 1 Shawl 10",,13,6,,
,,"2 u Sugar 4/",,4,,,
,,"1 Hkf 3/ 2 u Sugar 4/",,7,,,
,,"1 Gallon Molasses",,12,6,,
,,,3,2,,,
,,"By Balance due Tom",,8,,,
"page 46",,,,,,,
,,"Lewis Williams Dr",,,,,
,,"To bal PP Settlement brot forwd",,2,6,,
,,"2 quarts Whisky",,7,,,
,,"Balance of Whisky",,7,,,
,,"5 u Sugar",,10,,,
,,"2 u Sugar",,4,,,
,,"Merchandise pd Charles",,2,6,,
,,,1,8,6,,
,,"By 7 cords wood 35/",,,,,"note amount of credit not recorded"
"page 47",,,,,,,
,,"Solomon of D. Goodlow Dr",,,,,
,,"To balance brot forwd",5,4,9,,
,,"part of 2 qts Whisky",,2,3,,
,,,5,7,0,,
,,"cr",,,,,
,,"By 4 1/3 cords wood @ 5/",1,1,9,,
,,"due",4,5,3,,
,,"1 pt Whisky 1/9 1 u Sugar 2/",,3,9,,
,,,4,9,,,
,,"By 13 cord wood @ 5/",3,5,,,
,,,1,4,,,
,,"By Sam 17/6",,,,,
,,"By Mark 6/6",,,,,"just enough to pay it off, again Mark and Sam giving credits to Solomon"
,,,1,4,,,
"page 48",,,,,,,
,,"Mark Dr",,,,,
,,"1 pr Suspenders 7/6",,7,6,,
,,"1 pr Ditto",,7,6,,
,,"1 u Sugar 2/ 1 Shawl 5/",,7,,,
,,"1 Lock 3/6 1 qt Brandy 4/",,7,6,,
,,"1 qt Whisky 3/6 1 u Sugar 2/",,5,6,,
,,"1 pr Suspenders",,5,,,
,,"Shawl 7/6 1 qt Whisky 3/6",,11,,,
,,"paid Solomon",,2,6,,"an amount unrecorded elsewhere"
,,,2,13,6,,
,,"By 6 cords wood 30/ }",,,,,
