BK_SOURCE,BK_DEBIT_CREDIT,Folio Side,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_BETWEEN,BK_MONEY1,BK_MONEY2,BK_MONEY3,$ data,¢ data,BK_ENTRY
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,By Balle due GWn & chargd pr Contra,,,,,10,,,,,,,,,,,By Balance due George Washington & charged per Contra
"Ledger A, 1750 - 1772: pg.3",Credit,Right,,,,[Total],,,£,2,12,6,,,,,,,,,,[Total]
"Ledger A, 1750 - 1772: pg.3",Credit,Right,1765,,,By Balle chargd to the Estate of Richd Stephenson folio 331,,,,70,10,,,,1765,,,,,,,By Balance charged to the Estate of Richard Stephenson folio 331
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,,,,,,,,,,,,,"Washington, Lawrence",,,,,,
"Ledger A, 1750 - 1772: pg.4",Debit,Left,1750,July,25,To Cash lent you going to the Warm Springs,,,,,14,8,,,25 July 1750,"Washington, Lawrence",,14,8,,,To Cash lent you going to the Warm Springs
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,August,25,To Ditto lent you in Frederick to pay Chain Carriers,,,,,5,,,,25 August 1750,"Washington, Lawrence",,5,,,,To Cash lent you in Frederick to pay Chain Carriers
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,Septr,20,To Ditto paid Mr Fielding Lewis for Sundries,,,,,1,8,,,20 September 1750,"Washington, Lawrence",,1,8,,,To Cash paid Mr Fielding Lewis for Sundries
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,Novr,10,To Ditto paid Henry Bradshaw for Chain Carrying,,,,,5,9,,,10 November 1750,"Washington, Lawrence",,5,9,,,To Cash paid Henry Bradshaw for Chain Carrying
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,Feby,,To Ditto for a sett of Weights,,,,,1,6,,,February 1751,"Washington, Lawrence",,1,6,,,To Cash for a sett of Weights
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,March,26,To Ditto pd Henry Bradshaw for Chn Cary,,,,,2,6,,,26 March 1751,"Washington, Lawrence",,2,6,,,To Cash paid Henry Bradshaw for Chain Carrying
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,,,To Ditto lent you at Mr Richd Stephenson's,,,,,2,6,,,26 March 1751,"Washington, Lawrence",,2,6,,,To Cash lent you at Mr Richard Stephenson's
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,,,To Ditto paid Robt Worthington at yr Request,,,,1,1,6,,,26 March 1751,"Washington, Lawrence",1,1,6,,,To Cash paid Robert Worthington at yr Request
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,April,9,To Ditto paid William McKie,,,,16,15,,,,9 April 1751,"Washington, Lawrence",16,15,,,,To Cash paid William McKie
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,,,To Surveying Thomas Carney's Land,,,,2,3,,,,9 April 1751,"Washington, Lawrence",2,3,,,,To Surveying Thomas Carney's Land
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,July,14,To Cash lent,,,,,11,6,,,14 July 1751,"Washington, Lawrence",,11,6,,,To Cash lent
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,August,,To Ditto Ditto going to Annapolis,,,,3,18,,,,August 1751,"Washington, Lawrence",3,18,,,,To Cash lent going to Annapolis
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,,,[Total],,,£,26,3,3,,,1751,"Washington, Lawrence",26,3,3,,,[Total]
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.4",Debit,Left,1752,July,,To Ballance of the above Account,,,,14,16,3,,,July 1752,,14,16,3,,,To Balance of the above Account
"Ledger A, 1750 - 1772: pg.4",Debit,Left,1753,,,To Cash paid ye [the] Executors,,,,,,,,,1753,,,,,,,To Cash paid ye [the] Executors
"Ledger A, 1750 - 1772: pg.4",Debit,Left,1757,August,,To my share of the Balle in favour of the Estate as pr Settlement made at Alexa. of this date,,,,,,,,,August 1757,,,,,,,To my share of the Balance in favour of the Estate as per Settlement made at Alexandria of this date
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,,,To Balle credited in Ledger B. folio 45,,,,110,16,6,,,1757,,110,16,6,,,To Balance credited in Ledger B. folio 45
"Ledger A, 1750 - 1772: pg.4",Debit,Left,,,,[Total],,,£,125,12,9,,,1757,,125,12,9,,,[Total]
"Ledger A, 1750 - 1772: pg.4",Credit,Right,,,,,,,,,,,,,,"Washington, Lawrence",,,,,,
"Ledger A, 1750 - 1772: pg.4",Credit,Right,1751,Apl,14,By Cash,,,,10,15,6,,,14 April 1751,"Washington, Lawrence",10,15,6,,,By Cash
"Ledger A, 1750 - 1772: pg.4",Credit,Right,,Augt,10,By Ditto of Mrs Washington,,,,,11,6,,,10 August 1751,"Washington, Lawrence",,11,6,,,By Cash of Mrs Washington
"Ledger A, 1750 - 1772: pg.4",Credit,Right,,,,By Balle Acct chargd to the Estate,,,,14,16,3,,,1751,"Washington, Lawrence",14,16,3,,,By Balance Account charged to the Estate
"Ledger A, 1750 - 1772: pg.4",Credit,Right,,,,[Total],,,£,26,3,3,,,1751,"Washington, Lawrence",26,3,3,,,[Total]
"Ledger A, 1750 - 1772: pg.4",Credit,Right,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.4",Credit,Right,1753,,,By Sundries purchasd at the Sale amountg to,,,,33,14,9,,,1753,,33,14,9,,,By Sundries purchasd at the Sale amounting to
"Ledger A, 1750 - 1772: pg.4",Credit,Right,1754,,,By 115 Barrels of Corn  @ 6/,,,,34,10,,,,1754,,34,10,,,,By 115 Barrels of Corn @ 6/
"Ledger A, 1750 - 1772: pg.4",Credit,Right,1755,Jany,26,"By Sundrie Stock &ca purchasd as pr valuation of Messrs McCarty, West, & Darrel",,,,57,8,,,,26 January 1755,,57,8,,,,"By Sundrie Stock &ca purchased as per valuation of Messieurs McCarty, West, & Darrel"
"Ledger A, 1750 - 1772: pg.4",Credit,Right,,,,[Total],,,£,125,12,9,,,1755,,125,12,9,,,[Total]
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.5",Debit,Left,1750,Decr,4,To Cash in part for the Land whereon you live,,,,45,,9 3/4,,,4 December 1750,,45,,"9,75",,,To Cash in part for the Land whereon you live
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,March,16,To Ditto in full,,,,76,19,2 1/4,,,16 March 1750,,75,19,"2,25",,,To Cash in full
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,,,[Total],,,£,112,,,,,1750,,112,,,,,[Total]
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.5",Debit,Left,1750,Novr,,To your assumsit in favour of Mr John Lindsey,,,,1,16,,,,November 1750,,1,16,,,,To your assumpsit in favour of Mr John Lindsey
"Ledger A, 1750 - 1772: pg.5",Debit,Left,1751,March,20,To Surveying 467 Acres of Land on Long Marsh,,,,2,3,,,,20 March 1751,,2,3,,,,To Surveying 467 Acres of Land on Long Marsh
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,Apl,1,To Surveying the place whereon you Live,,,,2,3,,,,1 April 1751,,2,3,,,,To Surveying the place whereon you Live
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,,3,To Ditto a place for your Mother in the Barrens,,,,2,3,,,,3 April 1751,,,,,,,To Surveying a place for your Mother in the Barrens
"Ledger A, 1750 - 1772: pg.5",Debit,Left,1752,April,13,To my Order on Mr Thomas McCradie,,,,105,16,3,,,13 April 1752,,105,16,3,,,To my Order on Mr Thomas McCradie
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,May,1,"To three Warrants for your own, and Mother's Land",,,,2,16,3,,,1 May 1752,,2,16,3,,,"To three Warrants for your own, and Mother's Land"
"Ledger A, 1750 - 1772: pg.5",Debit,Left,1753,April,,To Cash,,,,10,6,,,,April 1753,,10,6,,,,To Cash
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,,,[Total],,,£,127,3,6,,,1753,,127,3,6,,,[Total]
"Ledger A, 1750 - 1772: pg.5",Debit,Left,1759,Apl,11th,To Cash pd Humphrey Keyes at your request,,,,3,,,,,11 April 1759,,3,,,,,To Cash paid Humphrey Keyes at your request
"Ledger A, 1750 - 1772: pg.5",Debit,Left,1761,Feby,17,To Mr Abraham Barne's Smith's Acct accepted by you,,,,6,3,5,,,17 February 1761,,6,3,5,,,To Mr Abraham Barne's Smith's Account accepted by you
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,Apl,13,To Colo. Bassetts Order,,,,32,10,,,,13 April 1761,,32,10,,,,To Colonel Bassetts Order
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,,,To amount carried to folio 133,,,£,41,13,5,,,1761,,14,13,5,,,To amount carried to folio 133
"Ledger A, 1750 - 1772: pg.5",Debit,Left,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.5",Debit,Left,1751,Mar,23,To Surveying & returning to the Proprietor's Office a Plat of Land for 431 acres adjoing yr old Patent,,,,,2,3,,,23 March 1751,,,2,3,,,To Surveying & returnin g to the Proprietors Office a Plat of Land for 431 acres adjoining yr old Patent
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.5",Credit,Right,1750,Decr,2,By a sett of Deeds of Lease & Release for 456 Acres of Land bought of you this day,,,,112,,,,,2 December 1750,,112,,,,,By a sett of Deeds of Lease & Release for 456 Acres of Land bought of you this day
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,[Total],,,,112,,,,,1750,,112,,,,,[Total]
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.5",Credit,Right,1752,Mar:,16,By a sett of Deeds of Lease & Release for 552 Acres of Land on the South Fork of Bullskin,,,,115,,,,,16 March 1752,,115,,,,,By a sett of Deeds of Lease & Release for 552 Acres of Land on the South Fork of Bullskin
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,By drawing a sett of Deeds,,,,,15,,,,16 March 1752,,,15,,,,By drawing a sett of Deeds
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,May,1,By Colo. Fairfax,,,,1,2,6,,,1 May 1752,,1,2,6,,,By Colonel Fairfax
"Ledger A, 1750 - 1772: pg.5",Credit,Right,1753,Jany,18,By Richard Stephenson's Bill for,,,,10,6,,,,18 January 1753,,10,6,,,,By Richard Stephenson's Bill for
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,[Total],,,£,127,3,6,,,1753,,127,3,6,,,[Total]
"Ledger A, 1750 - 1772: pg.5",Credit,Right,1757,Aug.,,By Cash in Alexandria,,,,3,,,,,August 1757,,3,,,,,By Cash in Alexandria
"Ledger A, 1750 - 1772: pg.5",Credit,Right,1762,Octr,19th,By Sundrys as pr your act rendered this day viz.,,,,,,,,,19 October 1762,,,,,,,By Sundrys as per your account rendered this day - viz. -
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,To the Joyners acct,,2.5.[0],,,,,,,19 October 1762,,2,5,,,,To the Joyners account
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,To drawing a Deed of Covenant & Bd,,[0].10.[0],,,,,,,19 October 1762,,,10,,,,To drawing a Deed of Covenant & Bond
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,To drawing a Lease,,[0].10.[0],,,,,,,19 October 1762,,,10,,,,To drawing a Lease
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,To my opinion relative to Collo. Geo. Lee's affair upon yr Bror will,,[0].10.[0],,,,,,,19 October 1762,,,10,,,,To my opinion relative to Collo Gen Lee's affair upon yr Bror will
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,By amount carried to Folio 133 £3.15 &,,,£,3,,,,,1762,,,,,,,By amount carried to Folio 133
"Ledger A, 1750 - 1772: pg.5",Credit,Right,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.5",Credit,Right,1762,Novr,,By Cash of Mr Thomas Dent,,,,2,3,,,,November 1762,,2,3,,,,By Cash of Mr Thomas Dent
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.6",Debit,Left,1751,April,17,To your Note of hand given for Surveying a Tract of Land for your Son in Law James Steward and a Warrt for ye [the] sd Land payable in May next,,,,3,1,9,,,17 April 1751,,3,1,9,,,To your Note of hand given for Surveying a Tract of Land for your Son in Law James Steward and a Warrant for ye [the] said Land payable in May next
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,,,,,,,,,,,,"Lonem, John",,,,,,
"Ledger A, 1750 - 1772: pg.6",Debit,Left,1751,Apl,20,To your note of hand payable the 1st of Septr next,,,,2,0,3,,,20 April 1751,"Lonem, John",2,0,3,,,To your note of hand payable the 1st of September next
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,,[Total],,,£,2,,3,,,1751,"Lonem, John",2,0,3,,,[Total]
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,,To Balle pd Contra,,,,1,7,9,,,1751,"Lonem, John",1,7,9,,,To Balance paid Contra
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,,,,,,,,,,,,"Cahoon, James, McBride, Francis",,,,,,
"Ledger A, 1750 - 1772: pg.6",Debit,Left,1752,Mar.,21,To Surveying 88 Acres of Land in Augusta County on the lost River,,,,2,3,,,,21 March 1752,"Cahoon, James, McBride, Francis",2,3,,,,To Surveying 88 Acres of Land in Augusta County on the lost River
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,Do,To a Warrt from the Proprietors Office for Ditto,,,,,18,9,,,21 March 1752,"Cahoon, James, McBride, Francis",,18,9,,,To a Warrant from the Proprietors Office for Ditto
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,,[Total],,,£,3,1,9,,,1752,"Cahoon, James, McBride, Francis",3,1,9,,,[Total]
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.6",Debit,Left,1752,Apl,2,To Surveying 400 Acres of Land,,,,2,3,,,,2 April 1752,,2,3,,,,To Surveying 400 Acres of Land
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,Do,To a Warrant for Ditto,,,,,18,9,,,2 April 1752,,,18,9,,,To a Warrant for Ditto
"Ledger A, 1750 - 1772: pg.6",Debit,Left,,,,[Total],,,£,3,1,9,,,1752,,3,1,9,,,[Total]
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,By Cash of Mr Thomas Dent,,,,2,3,,,,,,,2,3,,,By Cash of Mr Thomas Dent
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,Warrant Fee paid to the Office,,,,,18,9,,,,,,18,9,,,Warrant Fee paid to the Office
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,[Total],,,,3,1,9,,,,,3,1,9,,,[Total]
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,,,,,,,,,,,"Lonem, John",,,,,,
"Ledger A, 1750 - 1772: pg.6",Credit,Right,1752,Mar,21,By Cash at Francis McBrides,,,,,7,6,,,21 March 1752,"Lonem, John",,7,6,,,By Cash at Francis McBrides
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,By Carrying ye [the] Chain round 2 Tracts of Land,,,,,5,,,,1752,"Lonem, John",,5,,,,By Carrying ye [the] Chain round 2 Tracts of Land
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,By Ballance due GW,,,,1,7,9,,,1752,"Lonem, John",1,7,9,,,By Balance due George Washington
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,[Total],,,£,2,,3,,,1752,"Lonem, John",2,0,3,,,[Total]
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,The Contra Balle may go to the Acct o[f] Loss,,,,1,7,9,,,1752,"Lonem, John",1,7,9,,,The Contra Balance may go to the Account o[f] Loss
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,,,,,,,,,,,"Cahoon, James, McBride, Francis",,,,,,
"Ledger A, 1750 - 1772: pg.6",Credit,Right,1763,Septr,4,By Cash of Mr Thomas Dent,,,,2,3,,,,4 September 1763,"Cahoon, James, McBride, Francis",2,3,,,,By Cash of Mr Thomas Dent
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,By Warrant fee paid to the Office,,,,,8,9,,,4 September 1763,"Cahoon, James, McBride, Francis",,8,9,,,By Warrant fee paid to the Office
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,[Total],,,£,3,1,9,,,1763,"Cahoon, James, McBride, Francis",3,1,9,,,[Total]
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.6",Credit,Right,,,,By the Contra Balle to the Acct of Loss,,,,3,1,9,,,,,3,1,9,,,By the Contra Balance to the Account of Loss
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,,,,,,,,,,,,"Washington, Samuel",,,,,,
"Ledger A, 1750 - 1772: pg.7",Debit,Left,1752,May,18,To 1 Grey cut Wigg,,,,,17,6,,,18 May 1752,"Washington, Samuel",,17,6,,,To 1 Grey cut Wigg
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,,To 1 pair nett turnd pumps,,,,,11,6,,,18 May 1752,"Washington, Samuel",,11,6,,,To 1 pair nett turned pumps
"Ledger A, 1750 - 1772: pg.7",Debit,Left,1755,Jany,1,To 1291 lb. of live Pork @ 7/,,,,4,10,4,,,1 January 1755,"Washington, Samuel",4,10,4,,,To 1291 pound of live Pork @ 7/
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,11,To your proportion of a Fee given Mr Mercer for his opinion on the devise of my Brothr Lawes Negros,,,,,5,4 1/2,,,11 January 1755,"Washington, Samuel",,5,"4,5",,,To your proportion of a Fee given Mr Mercer for his opinion on the devise of my Brother Lawrences Negros
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,,To Ditto the cost of a Release for Ditto,,,,,5,4 1/2,,,11 January 1755,"Washington, Samuel",,5,"4,5",,,To Ditto the cost of a Release for Ditto
"Ledger A, 1750 - 1772: pg.7",Debit,Left,1762,July,1st,To Cash,,,,40,,,,,1 July 1762,"Washington, Samuel",40,,,,,To Cash
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,,[Total],,,£,46,10,1,,,1762,"Washington, Samuel",46,10,1,,,[Total]
"Ledger A, 1750 - 1772: pg.7",Debit,Left,1765,Mar.,30,To Cash,,,,10,,,,,30 March 1765,"Washington, Samuel",10,,,,,To Cash
"Ledger A, 1750 - 1772: pg.7",Debit,Left,1766,Feby,12,To Do,,,,12,0,0,,,12 February 1766,"Washington, Samuel",12,,,,,To Cash
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.7",Debit,Left,1753,April,4th,To Mr Samuel Donne,,,,5,,,,,4 April 1753,,5,,,,,To Mr Samuel Donne
"Ledger A, 1750 - 1772: pg.7",Debit,Left,1754,Feby,1,To Cash £10:2s.3d Novr 18th To Ditto £5,,,,15,2,3,,,1 February 1754,,15,2,3,,,To Cash £10:2s.3d November 18th To Cash £5
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,,To overchargd in your Account,,,,,7,3,,,1754,,,7,3,,,To overcharged in your Account
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,,[Total],,,£,20,9,6,,,1754,,20,9,6,,,[Total]
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,,,,,,,,,,,,"Donne, Samuel",,,,,,
"Ledger A, 1750 - 1772: pg.7",Debit,Left,1753,April,4,To Cash at Mr Lewis's Store,,,,2,3,,,,4 April 1753,"Donne, Samuel",2,3,,,,To Cash at Mr Lewis's Store
"Ledger A, 1750 - 1772: pg.7",Debit,Left,1754,Feby,2,To Mr Charles Yates pr Order,,,,2,17,,,,2 February 1754,"Donne, Samuel",2,17,,,,To Mr Charles Yates per Order
"Ledger A, 1750 - 1772: pg.7",Debit,Left,,,,[Total],,,,5,,,,,1754,"Donne, Samuel",5,,,,,[Total]
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,,,,,,,,,,,"Washington, Samuel",,,,,,
"Ledger A, 1750 - 1772: pg.7",Credit,Right,1752,May,23,By Cash at Andrew Drummonds,,,,,5,9,,,23 May 1752,"Washington, Samuel",,5,9,,,By Cash at Andrew Drummonds
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,31,By Ditto,,,,,2,10 1/2,,,31 May 1752,"Washington, Samuel",,2,"10,5",,,By Cash
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,By two pair of Gloves,,,,,4,,,,31 May 1752,"Washington, Samuel",,4,,,,By two pair of Gloves
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,June,2,By Cash at the play House,,,,,1,3,,,2 June 1752,"Washington, Samuel",,1,3,,,By Cash at the play House
"Ledger A, 1750 - 1772: pg.7",Credit,Right,1762,Mar.,,By a Negroe fellow—wt. one hand named Chs,,,,30,,,,,March 1762,"Washington, Samuel",30,,,,,By a Negroe fellow—with one hand named Charles
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,By a White Servt Robt Haims,,,,10,,,,,March 1762,"Washington, Samuel",10,,,,,By a White Servant Robert Haims
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,By Balle given him,,,,5,16,2 1/2,,,March 1762,"Washington, Samuel",5,16,"2,5",,,By Balance given him
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,[Total],,,£,46,10,1,,,1762,"Washington, Samuel",46,10,1,,,[Total]
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,By the hire of your Negro James 1 Year,,,,10,,,,,,"Washington, Samuel",10,,,,,By the hire of your Negro James 1 Year
"Ledger A, 1750 - 1772: pg.7",Credit,Right,1765,Decr,22,By Cash of Mr Robt Alexander,,,,12,0,0,,,22 December 1765,"Washington, Samuel",12,0,0,,,By Cash of Mr Robert Alexander
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,Carrd to Folio 315,,,,,,,,,1765,"Washington, Samuel",,,,,,Carried to Folio 315
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.7",Credit,Right,1750,March,,By 1 Sett Poll Chair Harness,,,,10,15,,,,March 1750,,10,15,,,,By 1 Sett Poll Chair Harness
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,By Sundries,,,,4,7,3,,,March 1750,,4,7,3,,,By Sundries
"Ledger A, 1750 - 1772: pg.7",Credit,Right,1754,Novr,18,By Sundries to this date,,,,5,7,3,,,18 November 1754,,5,7,3,,,By Sundries to this date
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,[Total],,,£,20,9,6,,,1754,,20,9,6,,,[Total]
"Ledger A, 1750 - 1772: pg.7",Credit,Right,,,,,,,,,,,,,,"Donne, Samuel",,,,,,
"Ledger A, 1750 - 1772: pg.7",Credit,Right,1753,Apl,4,By Richard Lewis—Saddler,,,,5,,,,,4 April 1753,"Donne, Samuel",5,,,,,By Richard Lewis—Saddler
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,,,,,,,,,,,"Lewis, Fielding, Sr.",,,,,,
"Ledger A, 1750 - 1772: pg.8",Debit,Left,1751,Novr,9th,To 1 Barrl of Lymes sent you from Barbadoes,,,,,15,,,,9 November 1751,"Lewis, Fielding, Sr.",,15,,,,To 1 Barrel of Lymes sent you from Barbadoes
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,Feby,28,To Cash,,,,25,12,1,,,28 February,"Lewis, Fielding, Sr.",25,12,1,,,To Cash
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,Mar.,3,To Ditto,,,,5,18,3,,,3 March,"Lewis, Fielding, Sr.",5,18,3,,,To Cash
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,20,To Ditto of the President for Surveying a pi of Land,,,,3,2,,,,20 March,"Lewis, Fielding, Sr.",3,2,,,,To Cash of the President for Surveying a piece of Land
"Ledger A, 1750 - 1772: pg.8",Debit,Left,1752,April,29,To Ditto of Mr Thos McCradie for my Lotts,,,,165,2,10,,,29 April 1752,"Lewis, Fielding, Sr.",165,2,10,,,To Cash of Mr Thomas McCradie for my Lotts
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,May,7,To Ditto of Ditto for Ditto,,,,9,,11,,,7 May 1752,"Lewis, Fielding, Sr.",9,,11,,,To Cash of Mr Thomas McCradie for my Lotts
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,Novr,18,To Ditto,,,,55,,,,,18 November 1752,"Lewis, Fielding, Sr.",55,,,,,To Cash
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,[Total],,,£,264,11,1,,,1752,"Lewis, Fielding, Sr.",264,11,1,,,[Total]
"Ledger A, 1750 - 1772: pg.8",Debit,Left,1757,Septr,10th,To Ditto in full,,,,21,5,7,,,10 September 1757,"Lewis, Fielding, Sr.",21,5,7,,,To Cash in full
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,[Total],,,£,285,16,8,,,1757,"Lewis, Fielding, Sr.",285,16,8,,,[Total]
"Ledger A, 1750 - 1772: pg.8",Debit,Left,1758,Mar.,30,To Cash lodgd with you to buy a Bill of Excha.,,,,72,10,,,,30 March 1758,"Lewis, Fielding, Sr.",72,10,,,,To Cash lodged with you to buy a Bill of Exchange
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,To a sett of Joiners Tools cost me Sterg £9.3 besides Charges Add 100 prCt 9.3,,,,18,6,,,,,"Lewis, Fielding, Sr.",18,6,,,,To a sett of Joiners Tools cost me Sterling £9.3 besides Charges Add 100 percent 9.3
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,To a small Sword,,,,6,,,,,,"Lewis, Fielding, Sr.",6,,,,,To a small Sword
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,June,20th,To Cash pr yr Brothr Charles,,,,40,,,,,20 June 1758,"Lewis, Fielding, Sr.",40,,,,,To Cash per your Brother Charles
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,To overchargd in 161 Tobo prizd in ye [the] Hhd,,,,,2,,,,,"Lewis, Fielding, Sr.",,2,,,,To overcharged in 161 Tobacco prized in ye [the] Hogshead
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,To overchargd in Smiths Work,,,,2,1,11 1/2,,,,"Lewis, Fielding, Sr.",2,1,"11,5",,,To overcharged in Smiths Work
"Ledger A, 1750 - 1772: pg.8",Debit,Left,1760,June,12,To Cash in full of his Acct,,,,63,8,1 1/2,,,12 June 1760,"Lewis, Fielding, Sr.",63,8,"1,5",,,To Cash in full of his Account
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,,,[Total],,,£,202,8,1,,,1760,"Lewis, Fielding, Sr.",202,8,1,,,[Total]
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,Septr,13,To Cash advancd on Acct of the Scheme for Iron Works,,,,5,,,,,13 September,"Lewis, Fielding, Sr.",5,,,,,To Cash advanced on Account of the Scheme for Iron Works
"Ledger A, 1750 - 1772: pg.8",Debit,Left,,June,4,To Ditto paid you at the Fair Fredg,,,,40,,,,,4 June,"Lewis, Fielding, Sr.",40,,,,,To Cash paid you at the Fair Fredg
