BK_SOURCE,BK_DEBIT_CREDIT,Folio Side,Year,Month,Day,entry,Page,,£,£,sh,d,$,¢,BK_WHEN,BK_BETWEEN,BK_MONEY,BK_MONEY,BK_MONEY,$ data,¢ data,BK_ENTRY,,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,,,,[Total],,,£,16,10,,,,1772,,16,10,,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,,,,,,,,,,,,,,"Lee, George (1714-1761)",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,,,,By the use of Mt Vernon Tract & Slaves for ye [the] Year 1755,,,,93,15,,,,,"Lee, George (1714-1761)",93,15,,,,By the use of Mount Vernon Tract & Slaves for ye [the] Year 1755,,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,,,,By Ditto Ditto for 1756,,,,87,10,,,,,"Lee, George (1714-1761)",87,10,,,,By the use of Mount Vernon Tract & Slaves for ye [the] Year 1756,,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,1758,Decr,,By Ditto Ditto for 1757 & 58,,,,175,,,,,December 1758,"Lee, George (1714-1761)",175,,,,,By the use of Mount Vernon Tract & Slaves for ye [the] Year 1757 & 58,,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,,,,By Ditto Ditto 1759,,,,87,10,,,,,"Lee, George (1714-1761)",,,,,,By the use of Mountt Vernon Tract & Slaves for ye [the] Year 1759,,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,,,,By my proportion of a Legacy left Mrs Lee,,,,28,,,,,,"Lee, George (1714-1761)",28,,,,,By my proportion of a Legacy left Mrs Lee,,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,,,,By the use of the above Land &ca 1760,,,,81,5,,,,,"Lee, George (1714-1761)",81,5,,,,By the use of the above Land &ca 1760,,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,1762,,,By Do Do for 1761,,,,81,5,,,,1762,"Lee, George (1714-1761)",81,5,,,,By the use of the above Land &ca 1761,,,,,
"Ledger A, 1750 - 1772: pg.47",Credit,Right,,,,[Total],,,£,634,5,,,,1762,"Lee, George (1714-1761)",634,5,,,,,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,1757,Augt,22,To Cash lent you,,,,80,,,,,22 August 1757,,80,,,,,To Cash lent you,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,Septr,20,To Ditto Ditto,,,,70,,,,,20 September 1757,,70,,,,,To Cash lent you,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,Novr,,To two Waggon Loads of Goods brot by my Waggons from Alexandria pr Rect,,,,5,,,,,20 November 1757,,5,,,,,To two Waggon Loads of Goods brought by my Waggons from Alexandria per Receipt,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,Decr,,To four Hogshd Rum Waggond from same place,,,,5,,,,,20 December 1757,,5,,,,,To four Hogshead Rum Waggoned from same place,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,Apl,10,To Cash,,,,1,1,6,,,10 April 1758,,1,1,6,,,To Cash,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,Septr,5,To 146 Ration's of Provision's sent to Mr Hite,,,,3,13,,,,5 September 1758,,3,13,,,,To 146 Ration's of Provision's sent to Mr Hite,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,20,To 42 Ditto sent do at 6d,,,,1,1,,,,20 September 1758,,1,1,,,,To 42 Ration's of Provision's sent Mr Hite at 6d,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,Octr,4,To 42 Ditto sent do at Do,,,,1,1,,,,4 October 1758,,1,1,,,,To 42 Ration's of Provision's sent Mr Hite at 6d,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,[Total],,,,166,16,6,,,1758,,166,16,6,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,,,,,,,,,,,"Hunter, John (physician)",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,1757,May,3,To Cash in Williamsburg for £40.10s.0 Pena. My,,,,35,4,,,,3 May 1757,"Hunter, John (physician)",35,4,,,,To Cash in Williamsburg for £40.10s.0 Pennsylvania Money,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,,,,,,,,,,,"Johnston, Robert",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,1757,Septr,14,To Cash by Mr Kirkpatrick,,,,12,10,,,,14 September 1757,"Johnston, Robert",12,10,,,,To Cash by Mr Kirkpatrick,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,1760,Augt,19,To Cash paid you in Alexandria pr Rect,,,,7,10,,,,19 August 1760,"Johnston, Robert",7,10,,,,To Cash paid you in Alexandria per Receipt,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,[Total],,,,20,,,,,1760,"Johnston, Robert",20,,,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,To Cash at Alexandria,,,,1,10,,,,,,1,10,,,,To Cash at Alexandria,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,To Two Days mist,,,,,3,1,,,,,,3,1,,,To Two Days mist,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,To Cash in full,,,,4,6,11,,,,,4,6,11,,,To Cash in full,,,,,
"Ledger A, 1750 - 1772: pg.48",Debit,Left,,,,[Total],,,,6,,,,,,,6,,,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,1757,Decr,19,By Cash pr the hands of Captn Stewart,,,,70,,,,,19 December 1757,,70,,,,,By Cash per the hands of Captain Stewart,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,1758,Apl,10,By Cash,,,,1,1,6,,,10 April 1758,,1,1,6,,,By Cash,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,June,20,By Sundry Orders amounting to,,,,32,12,8,,,20 June 1758,,32,12,8,,,By Sundry Orders amounting to,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,By Sundry Articles from yr Store &ca at Winchestr,,,,19,16,11 1/2,,,20 June 1758,,19,16,"11,5",,,By Sundry Articles from your Store &ca at Winchester,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,Augt,18th,"By my Expences at Mr Hites, to ye [the] date hereof, as pr acct renderd",,,,85,5,4 3/4,,,18 August 1758,,85,5,"4,75",,,"By my Expenses at Mr Hites, to ye [the] date hereof, as per account rendered",,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,By Ditto at Hayton pr Ditto,,,,22,,9,,,18 August 1758,,22,,9,,,By my Expenses at Hayton per account rendered,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,By Cash advancd Jno. Brown a Soldier,,,,2,,,,,18 August 1758,,2,,,,,By Cash advanced John Brown a Soldier,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,[Total],,,£,232,17,3 1/4,,,1758,,232,17,"3,25",,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,[Total],,,,166,16,6,,,1758,,166,16,6,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,Balle carried to Folio /90/,,,£,66,11,9 1/4,,,1758,,66,11,"9,25",,,Balance carried to Folio /99/,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,,,,,,,,,,,"Hunter, John (physician)",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,1757,Apl,,By £40.10s Pensa. money borrowd in Phila.,,,£,35,4,0,,,April 1757,"Hunter, John (physician)",35,4,0,,,By £40.10s Pennsylvania money borrowed in Philadelphia,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,1757,Septr,14,By Rent of Matthews's Plantation 5 Years at Christmas next at ye [the] rate of 50/ pr Ann.,,,,12,10,,,,14 September 1757,"Johnston, Robert",12,10,,,,By Rent of Matthews's Plantation 5 Years at Christmas next at ye [the] rate of 50/ per Annum,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,By 3 Yr Rent of ye [the] above Plantn endg Christmas 1760,,,,7,10,,,,,"Johnston, Robert",7,10,,,,By 3 Year Rent of ye [the] above Plantion ending Christmas 1760,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,[Total],,,,20,,,,,,"Johnston, Robert",20,,,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.48",Credit,Right,,,,By driving my Waggon three Months @ 40/,,,,6,,,,,,,6,,,,,By driving my Waggon three Months @ 40/,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,,,,,,,,,,,"Darrell, Sampson",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1757,Decr,19,"To Cash in part, ye [the] other part to be pd in Decr 1759",,,,260,,,,,19 December 1757,"Darrell, Sampson",260,,,,,"To Cash in part, ye [the] other part to be paid in December 1759",,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1760,Jany,,To Acct brought from Smiths Book,,,,1,18,1,,,January 1760,"Darrell, Sampson",1,18,1,,,To Account brought from Smiths Book,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,To Rent of Mrs Gists Plantation 1759 730 lbs. Tobo,,,,,,,,,January 1760,"Darrell, Sampson",,,,,,To Rent of Mrs Gists Plantation 1759 730 pounds Tobacco,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,To Cash pd Atcheson & Parker—my note assignd ym [them] by you,,,,90,,,,,January 1760,"Darrell, Sampson",90,,,,,To Cash paid Aitcheson & Parker—my note assigned them by you,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,Carried to Folio 115.,,730. [pounds tobacco],£,351,18,1,,,January 1760,"Darrell, Sampson",351,18,1,,,Carried to Folio 115 730. [pounds tobacco],,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,,,,,,,,,,,"Patterson, John",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1757,Decr,20,To Cash,,,,20,,,,,20 December 1757,"Patterson, John",20,,,,,To Cash,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1758,Jany,7,To Ditto Mr Jno. Ballendine for 333 of Plank & Freight,,,,1,2,5,,,7 January 1758,"Patterson, John",1,2,5,,,To Cash Mr John Ballendine for 333 of Plank & Freight,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,May,,To Ditto of my Brother Jno. Washington,,,,75,,,,,May 1758,"Patterson, John",75,,,,,To Cash of my Brother John Washington,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,Apl,12th,To Ditto pd you myself at Mount Vernon,,,,40,,,,,12 April 1758,"Patterson, John",40,,,,,To Cash paid you myself at Mount Vernon,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,To Do & Sundry's of Humphrey Knight,,,,6,12,,,,12 April 1758,"Patterson, John",6,12,,,,To Cash & Sundry's of Humphrey Knight,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1759,July,,To Sundry Tools of Mr Fieldg Lewis chargd me,,,,5,2,8,,,July 1759,"Patterson, John",5,2,8,,,To Sundry Tools of Mr Fielding Lewis charged me,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,To An Order on Messrs Carlyle & Dalton for,,,,185,5,11,,,July 1759,"Patterson, John",185,5,11,,,To An Order on Messieurs Carlyle & Dalton for,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,[Total],,,,333,3,1,,,1759,"Patterson, John",333,3,1,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,To Cash paid you by my Brother Jno.,,,,20,,,,,,,20,,,,,To Cash paid you by my Brother John,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,Feby,,To Ditto paid my Bror Charles for you,,,,20,,,,,February,,20,,,,,To Cash paid my Brother Charles for you,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,To Shoes & Sundrie other necessaries furnishd your Carpenter,,,,,17,,,,February,,,17,,,,To Shoes & Sundrie other necessaries furnished your Carpenter,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1759,Apl,23d,To Cash pd my Brother Chs in Wmsburg in full,,,,19,3,,,,23 April 1759,,19,3,,,,To Cash paid my Brother Charles in Williamsburg in full,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,[Total],,,£,60,,,,,1759,,60,,,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1758,Feby,13,To Cash lent,,,,21,,,,,13 February 1758,,21,,,,,To Cash lent,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1760,Jany,,To a black horse sold you,,,,16,2,6,,,January 1760,,16,2,6,,,To a black horse sold you,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1761,May,20,To your Bond of this date,,,,50,,,,,20 May 1761,,50,,,,,To your Bond of this date,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,To 3 Bushels of Salt—Lent,,,,,,,,,20 May 1761,,,,,,,To 3 Bushels of Salt—Lent,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,1763,Mar.,16,To Cash,,,,7,,,,,16 March 1763,,7,,,,,To Cash,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,May,12,To Ditto,,,,25,10,,,,12 May 1763,,25,10,,,,To Cash,,,,,
"Ledger A, 1750 - 1772: pg.49",Debit,Left,,,,Carried to Folio 155.,,,£,82,10,,,,1763,,82,10,,,,Carried to Folio 155.,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,,,,,,,,,,,"Darrell, Sampson",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,1757,Decr,19,By 500 Acres of Land bought of you on Dogue Run,,,,350,,,,,19 December 1757,"Darrell, Sampson",350,,,,,By 500 Acres of Land bought of you on Dogue Run,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,1760,June,4,By 1 Transfer Note at the Falls Warehouse,,630 [pounds tobacco],,,,,,,4 June 1760,"Darrell, Sampson",,,,,,By 1 Transfer Note at the Falls Warehouse 630 [pounds tobacco],,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,By 1 Ditto Ditto Pohick,,70 [pounds tobacco],,,,,,,4 June 1760,"Darrell, Sampson",,,,,,By 1 Transfer Note at the Pohick Warehouse 70 [pounds tobacco],,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,By an Order on the Sheriff Mr Jno. West,,30 [pounds tobacco],,,,,,,4 June 1760,"Darrell, Sampson",,,,,,By an Order on the Sheriff Mr John West 30 [pounds tobacco],,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,By overchargd in Smiths Acct,,,,,4,1,,,4 June 1760,"Darrell, Sampson",,4,1,,,By overcharged in Smiths Account,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,By Cash,,,,1,14,,,,4 June 1760,"Darrell, Sampson",1,14,,,,By Cash,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,[Total],,730 [pounds tobacco],,351,18,1,,,1760,"Darrell, Sampson",351,18,1,,,[Total] 730 [pounds tobacco],,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,,,,,,,,,,,"Patterson, John",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,By Tools—not receiv'd,,,,5,2,8,,,,"Patterson, John",5,2,8,,,By Tools—not received,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,1759,Sepr,15,By the amount of your Acct for Work on my House &ca Including all charges against me to this day,,,,328,,5,,,15 September 1759,"Patterson, John",328,,5,,,By the amount of your Account for Work on my House &ca Including all charges against me to this day,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,[Total],,,,333,3,1,,,1759,"Patterson, John",333,3,1,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,1756,Feby,15,By hire of your Carpenter James,,,,20,,,,,15 February 1756,,20,,,,,By hire of your Carpenter James,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,1757,Feby,15,By Ditto Ditto this Year,,,,20,,,,,15 February 1757,,20,,,,,By hire of your Carpenter James this Year,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,1758,Feby,15,By Ditto Ditto,,,,20,,,,,15 February 1758,,20,,,,,By hire of your Carpenter James,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,[Total],,,£,60,,,,,1758,,60,,,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,1759,Decr,31st,By Cash,,,£,21,,,,,31 December 1759,,21,,,,,By Cash,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,Apl,26,By Ditto,,,,16,2,6,,,26 April 1759,,16,2,6,,,By Cash,,,,,
"Ledger A, 1750 - 1772: pg.49",Credit,Right,,,,By 275 Acres of Land on Difficult @ £30 prCt,,,,82,10,,,,1759,,82,10,,,,By 275 Acres of Land on Difficult @ £30 percent,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,To Cash paid your Brother,,,,,8,9,,,,,,8,9,,,To Cash paid your Brother,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,1758,Feby,27,To Ditto sent you by my Servt Bishop,,,,1,5,,,,27 February 1758,,1,5,,,,To Cash sent you by my Servant Bishop,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,N.B. This Acct was settled & ye [the] Balle pd Miss Smith,,,,,,,,,,,,,,,,N.B. This Account was settled and ye [the] Balance paid Miss Smith,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,,,,,,,,,,,"Knight, Humphrey",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,1758,Apl,2,To Cash paid you at Mt Vernon,,,,7,11,,,,2 April 1758,"Knight, Humphrey",7,11,,,,To Cash paid you at Mount Vernon,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,Carrd to Folio 73—,,,,,,,,,,"Knight, Humphrey",,,,,,Carried to Folio 73—,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,,,,,,,,,,,"Fairfax, William Henry",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,1758,Apl,26,To Cash sent you to the care of Beverly Robinson Esqr. at New York,,,,50,,,,,26 April 1758,"Fairfax, William Henry",50,,,,,To Cash sent you to the care of Beverly Robinson Esquire at New York,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,,,,,,,,,,,"Adams, John (wagoner)",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,1758,June,24th,To Cash advanced you,,,,5,,,,,24 June 1758,"Adams, John (wagoner)",5,,,,,To Cash advanced you,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,Decr,10,To Ditto advancd you at my Quarter,,,,2,,,,,10 December 1758,"Adams, John (wagoner)",2,,,,,To Cash advanced you at my Quarter,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,10,To a new Dutch Blanket cost me,,,,1,15,,,,10 December 1758,"Adams, John (wagoner)",1,15,,,,To a new Dutch Blanket cost me,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,To Cash advancd you 18th Augt last by Lieut. Smith,,,,1,,,,,,"Adams, John (wagoner)",1,,,,,To Cash advanced you 18th August last by Lieutenant Smith,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,To Doctr McCarmick,,,,1,1,9,,,,"Adams, John (wagoner)",1,1,9,,,To Doctor McCarmick,,,,,
"Ledger A, 1750 - 1772: pg.50",Debit,Left,,,,[Total],,,£,9,16,9,,,,"Adams, John (wagoner)",9,16,9,,,,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,By making Six Stocks,,,,,8,9,,,,,,8,9,,,By making Six Stockings,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,By making makg 3 Shirts & mendg Sundry old ones,,,,,,,,,,,,,,,,By making making 3 Shirts & mending Sundry old ones,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,By making Sundry Table Linnen &ca,,,,,,,,,,,,,,,,By making Sundry Table Linnen &ca,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,,,,,,,,,,,"Knight, Humphrey",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,[blank],,,,,,,,,,"Knight, Humphrey",,,,,,[blank],,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,,,,,,,,,,,"Fairfax, William Henry",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,1761,May,20,By Mr Bryan Fairfax's Bond,,,£,50,,,,,20 May 1761,"Fairfax, William Henry",50,,,,,By Mr Bryan Fairfax's Bond,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,,,,,,,,,,,"Adams, John (wagoner)",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,By his driving my Waggon,,,,9,16,9,,,,"Adams, John (wagoner)",9,16,9,,,By his driving my Waggon,,,,,
"Ledger A, 1750 - 1772: pg.50",Credit,Right,,,,[Total],,,£,9,16,9,,,,"Adams, John (wagoner)",9,16,9,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,,,,,,,,,,,,,,"Walker, Thomas",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,1758,June,24,To 6308 lbs. of Flour receivd at Perkins Mill &ca @ 10/,,,,31,10,10,,,24 June 1758,"Walker, Thomas",31,10,10,,,To 6308 pounds of Flour received at Perkins Mill &ca @ 10/,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,,,,To 1500 of Ditto of my Brother Jno. Washington,,,,7,10,,,,24 June 1758,"Walker, Thomas",7,10,,,,To 1500 of Flour of my Brother John Washington,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,,,,[Total],,,£,39,,10,,,,"Walker, Thomas",39,,10,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,1758,Octr,9,To Cash,,,,2,,,,,9 October 1758,,2,,,,,To Cash,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,,,,To your Order in favour of Doncastle,,,,4,13,3,,,9 October 1758,,4,13,3,,,To your Order in favour of Doncastle,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,,,,To Liquor at Sundry times at Loyal Hann. pr Bishh.,,,,1,,,,,9 October 1758,,1,,,,,To Liquor at Sundry times at Loyalhanna per Bishop,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,1761,Mar.,,To Cash in full of all Accts,,,,2,,,,,March 1761,,2,,,,,To Cash in full of all accounts,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,,,,[Total],,,£,9,13,3,,,,,9,13,3,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,,,,,,,,,,,,,,"Kennedy, David",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,1759,Decr,,To Cash allowd in an Acct settled w/ ye [the] Country Comsr,,,,28,,,,,December 1759,"Kennedy, David",28,,,,,To Cash allowed in an Account settled with ye [the] Country Commissary,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,,,,,,,,,,,,,,"Campbell, John",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.51",Debit,Left,1759,March,,To Cash lent him,,,,10,,,,,March 1759,"Campbell, John",10,,,,,To Cash lent him,,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,,,,,,,,,,,,,,"Walker, Thomas",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,1756,,,By 130 Gallons of Rum Recd of ye [the] P. Blews @ 3/4,,,,21,13,4,,,1756,"Walker, Thomas",21,13,4,,,By 130 Gallons of Rum Received of ye [the] Patriot Blews @ 3/4,,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,,,,By Mr Smith of Winchester,,,,17,7,6,,,,"Walker, Thomas",17,7,6,,,By Mr Smith of Winchester,,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,,,,[Total],,,£,39,0,10,,,,"Walker, Thomas",39,0,10,,,[Total],,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,,,,,,,,,,,,,,,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,,,,By Washing 77. doz. & 4  @ 2/6 pr dozn,,,£,9,13,3,,,,,19,13,3,,,By Washing 77 dozen & 4 pieces  @ 2/6 per dozen,,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,,,,,,,,,,,,,,"Kennedy, David",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,,r,14,By Cash at Sundry times Pensa. My £35,,,,28,,,,,14,"Kennedy, David",28,,,,,By Cash at Sundry times Pennsylvania Money £35,,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,,,,,,,,,,,,,,"Campbell, John",,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.51",Credit,Right,,May,,By Cash,,,,10,,,,,May,"Campbell, John",10,,,,,By Cash,,,,,
"Ledger A, 1750 - 1772: pg.52",Debit,Left,,,,,,,,,,,,,,Cash,,,,,,,,,,,
"Ledger A, 1750 - 1772: pg.52",Debit,Left,,,,To amount brot from folio (39),,,,5005,9,11,,,June 1758,Cash,5005,9,11,,,To amount brought from folio (39),,,,,
"Ledger A, 1750 - 1772: pg.52",Debit,Left,1758,June,23d,To Cash of Captn Robt Stewart for Horse Shoes,,,,3,18,6,,,23 June 1758,Cash,3,18,6,,,To Cash of Captain Robert Stewart for Horse Shoes,,,,,
"Ledger A, 1750 - 1772: pg.52",Debit,Left,,,,To Ditto of James Kelly—money lent,,,,2,,,,,23 June 1758,Cash,2,,,,,To Cash of James Kelly—money lent,,,,,
